domain,feature,chemcheck_status,skimmer_status,parity_state,evidence_url,confidence
"Customer CRM and account lifecycle","Customer contact profile (name/address/phone/email)","Implemented in customer schema fields full_name/address/phone/email (convex/schema.ts:6-10).","Supports customer records and communication context for service operations.","Parity","https://www.getskimmer.com/product/clients","High"
"Customer CRM and account lifecycle","Gate/access notes on customer records","Implemented via gate_code on customers (convex/schema.ts:10) and shown in route stop notes (src/pages/RouteOptimizer.jsx:114-121).","Marketed as storing gate and dog notes in customer records.","Parity","https://www.getskimmer.com/product/technicians","High"
"Customer CRM and account lifecycle","Equipment profile/history tracking","No dedicated equipment table in core schema; only notes + generic service logs (convex/schema.ts:35-57, 76-91).","Marketed with equipment history and equipment updates.","Behind","https://www.getskimmer.com/product/technicians","High"
"Scheduling and dispatch","Working days/hours scheduling foundation","Business settings support working_days and working_hours (convex/schema.ts:134-137; src/pages/Settings.jsx:810-887).","Back-office scheduling and route planning workflows included.","Parity","https://www.getskimmer.com/product/back-office","Medium"
"Scheduling and dispatch","Dispatch board with drag/drop and unscheduled management","No dedicated dispatcher board with drag/drop assignment across tech calendars found in audited routes/settings.","Marketed dispatch workflow and team assignment controls.","Behind","https://www.getskimmer.com/product/back-office","Medium"
"Scheduling and dispatch","Work reminders / overdue queues","Notifications exist for reminders and low chemicals (src/pages/Settings.jsx:773-805), but no dedicated overdue work-order queue.","Pricing page includes work-order reminders in plan value.","Behind","https://www.getskimmer.com/pricing","High"
"Route optimization depth","Daily route generation","Implemented route plan generation by day with stop ordering and time/distance estimate (src/pages/RouteOptimizer.jsx:93-133).","Route optimization and route organization are core technician workflows.","Parity","https://www.getskimmer.com/product/technicians","High"
"Route optimization depth","Map/traffic-aware optimization","Current logic uses heuristic zip/street proximity and fixed speed (src/pages/RouteOptimizer.jsx:31-43, 126-133), not map/traffic API optimization.","Marketed map-first route optimization.","Behind","https://www.getskimmer.com/product/technicians","High"
"Route optimization depth","Multi-tech route balancing","No explicit multi-tech route balancing UI in audited route module (single day selection in src/pages/RouteOptimizer.jsx:57-87).","Supports team-level route management and assignment.","Behind","https://www.getskimmer.com/product/back-office","Medium"
"Service execution workflow","Service log with chemistry readings","Implemented with pH/chlorine/alkalinity/stabilizer/salt fields (convex/schema.ts:42-47).","Technician workflow includes chemistry tracking and dosage guidance.","Parity","https://www.getskimmer.com/product/technicians","High"
"Service execution workflow","Proof-of-service photos before/after","Implemented in schema and report flow (convex/schema.ts:110-124; service log photo_count flags at convex/schema.ts:54-56).","Mobile workflow includes service photos.","Parity","https://www.getskimmer.com/product/mobile-app","High"
"Service execution workflow","Required checklists/tasks per visit","ChemCheck has photo/time requirements but no generalized checklist engine in audited flow (convex/schema.ts:143-158).","Skimmer markets required checklists and one-tap completion workflows.","Behind","https://www.getskimmer.com/product/technicians","High"
"Work orders and recurrence","One-off work orders","No first-class work_orders table or route entry in audited modules.","Released dedicated one-time work orders.","Behind","https://help.getskimmer.com/en/articles/10054757-introducing-work-orders","High"
"Work orders and recurrence","Recurring work orders","No recurring work order scheduler found in audited modules.","Pricing and product messaging include recurring work-order support.","Behind","https://www.getskimmer.com/pricing","High"
"Work orders and recurrence","Multi-tech work orders","No explicit multi-tech assignment on work orders found in audited modules.","iOS release notes call out multi-tech work orders.","Behind","https://apps.apple.com/us/app/skimmer-pool-service-app/id1249069756","High"
"Invoicing and payment collection","Customer invoicing","No customer invoice object or invoice routes; billing module is SaaS subscription billing (src/lib/stripe.ts:20-75).","Back-office and pricing pages include invoicing as a core value.","Behind","https://www.getskimmer.com/pricing","High"
"Invoicing and payment collection","Online customer payments/autopay","No customer payment collection flows in audited app code.","Customer portal includes autopay and payment method updates.","Behind","https://help.getskimmer.com/en/articles/10054816-introducing-customer-portal","High"
"Invoicing and payment collection","Bulk invoice operations","No bulk invoice generation flow found in audited routes/modules.","Billing FAQ documents bulk invoice generation workflows.","Behind","https://help.getskimmer.com/en/articles/6981574-billing-faq","High"
"Customer communication and report delivery","Service report emails","Implemented email report delivery with preview and validation (src/components/service-reports/SendReportDialog.tsx:315-352; convex/schema.ts:191-206).","Supports customer communications around service events.","Parity","https://www.getskimmer.com/product/clients","Medium"
"Customer communication and report delivery","Service text messaging","SMS method is disabled in current dialog (src/components/service-reports/SendReportDialog.tsx:134-137).","Released dedicated service texts feature.","Behind","https://help.getskimmer.com/en/articles/10477314-introducing-service-texts","High"
"Customer communication and report delivery","Broadcast/segment customer communications","No broadcast email campaign feature in audited routes/modules.","Released broadcast emails with segmentation intent.","Behind","https://help.getskimmer.com/en/articles/10477325-introducing-broadcast-emails","High"
"Chemistry and water analysis intelligence","Per-visit dosage assistance","No production dosage calculator in audited service-log flow; only note/captured values in core schema.","Technician product markets one-tap dosages in workflow.","Behind","https://www.getskimmer.com/product/technicians","High"
"Chemistry and water analysis intelligence","LSI water-balance scoring","No LSI field or LSI workflow in audited schema/routes.","Markets built-in LSI and dosing guidance.","Behind","https://www.getskimmer.com/product/technicians","High"
"Chemistry and water analysis intelligence","Water test hardware integration (LaMotte)","No LaMotte integration in audited integrations/sync modules.","Markets LaMotte integration and direct test import.","Behind","https://www.getskimmer.com/product/technicians","High"
"Team management and permissions","Team member model","Implemented team_members model with owner/admin/employee semantics in schema and business mutations (convex/schema.ts:165-176; convex/businesses.ts:5-11, 232-279).","Markets unlimited technicians/admins on plan.","Different","https://www.getskimmer.com/pricing","High"
"Team management and permissions","Granular advanced roles/permissions","Basic role model exists; no rich permission matrix surfaced in audited UI routes.","Release notes include advanced roles and permissions updates.","Behind","https://help.getskimmer.com/en/collections/3300687-release-notes","Medium"
"Team management and permissions","Field visibility of tech progress","No live technician location/progress panel in audited routes.","Technician experience includes seeing progress/context in mobile workflows.","Behind","https://www.getskimmer.com/product/mobile-app","Medium"
"Offline/mobile reliability","Offline-first data capture + deferred sync","Sync service explicitly handles offline state and resumes when online (src/lib/sync/SyncService.ts:8, 43-49, 98-117, 170-196).","Mobile app markets robust field use and continuity.","Parity","https://www.getskimmer.com/product/mobile-app","Medium"
"Offline/mobile reliability","Native mobile app distribution","ChemCheck appears as web/PWA + Capacitor stack (package deps include capacitor in package.json; route/app architecture web-first).","Skimmer has dedicated iOS app listing.","Behind","https://apps.apple.com/us/app/skimmer-pool-service-app/id1249069756","High"
"Offline/mobile reliability","Sync conflict/reliability UX","ChemCheck includes sync queue/conflict services but limited user-facing conflict workflows in audited pages.","Skimmer positions polished tech workflow with operational reliability.","Different","https://www.getskimmer.com/product/technicians","Medium"
"Integrations and ecosystem","Accounting integration (QuickBooks)","No QuickBooks integration found in audited modules.","Billing FAQ references QuickBooks Online sync support.","Behind","https://help.getskimmer.com/en/articles/6981574-billing-faq","High"
"Integrations and ecosystem","Public API for third-party automation","No public API layer surfaced for external partner integrations in audited app modules.","Release notes include API updates (customer lookup and work-order creation).","Behind","https://help.getskimmer.com/en/collections/3300687-release-notes","Medium"
"Integrations and ecosystem","Payment/financing ecosystem breadth","ChemCheck currently integrates Stripe for ChemCheck SaaS subscriptions (src/lib/stripe.ts:4-7, 111-124), not pool-customer financing/payments.","Skimmer lists Stripe, Sunbit, and financing/payment ecosystem options.","Behind","https://www.getskimmer.com/product/back-office","Medium"
